,price,product_weight_g,dist,order_delivered_customer_day,seller_id_mean,seller_city_mean,customer_city_mean,cluster
36744,110.0,458.0,574.5214422778049,4,8.12719298245614,8.26126126126126,9.09181141439206,0.0
27942,84.99,600.0,40.97073640787418,3,5.0365448504983386,5.063977746870654,5.169934640522876,0.0
41404,39.0,150.0,12.72476670339974,2,5.247990815154994,5.20036210018105,3.5444444444444443,0.0
28947,35.0,650.0,7.763624550309485,5,4.796052631578948,5.20036210018105,4.188768009408998,1.0
28837,104.9,1200.0,62.54246989145603,1,7.927835051546392,8.164498531263114,5.395348837209302,0.0
10046,24.99,350.0,87.67278756950134,1,5.743781094527363,5.20036210018105,3.756410256410256,0.0
97876,68.9,150.0,908.8109670395232,12,9.191919191919192,8.041666666666666,7.949838187702265,2.0
57295,34.9,150.0,537.3125722059912,6,8.570652173913043,8.041666666666666,4.188768009408998,1.0
20856,49.9,1750.0,579.9007843112003,4,8.292792792792794,8.292792792792794,7.949838187702265,0.0
44693,49.9,900.0,7.9921759033937105,2,5.205128205128205,5.063977746870654,3.889908256880734,0.0
52138,359.9,7500.0,871.4878836214909,7,6.608108108108108,5.20036210018105,9.09181141439206,1.0
37238,49.9,1750.0,427.6535243451122,5,8.292792792792794,8.292792792792794,4.188768009408998,1.0
105076,49.95,400.0,2294.803968069549,16,8.373983739837398,8.164498531263114,12.578947368421051,3.0
3494,18.9,150.0,548.9061129902855,9,8.570652173913043,8.041666666666666,4.188768009408998,1.0
46494,40.0,1350.0,20.391527759327996,2,4.796052631578948,5.20036210018105,4.188768009408998,0.0
48275,159.9,2438.0,341.89752945242776,5,6.209302325581396,7.735135135135135,4.188768009408998,1.0
23245,42.99,200.0,6.3046415063671875,2,4.818181818181818,5.20036210018105,4.188768009408998,0.0
104337,107.5,2083.0,539.1825058701726,5,8.455645161290322,8.164498531263114,7.747474747474747,1.0
49700,48.0,400.0,606.3022608284048,9,8.455645161290322,8.164498531263114,10.72463768115942,1.0
67545,299.99,1582.0,7.230760204971316,1,6.2924528301886795,6.593373493975903,9.10344827586207,0.0
44550,78.0,250.0,8.614297659859803,1,5.247990815154994,5.20036210018105,4.188768009408998,0.0
15379,27.9,400.0,306.3265477661509,10,7.230769230769231,8.164498531263114,4.188768009408998,2.0
54731,199.99,2100.0,357.48372611901834,12,6.062874251497006,5.20036210018105,9.10344827586207,2.0
87697,38.4,850.0,342.1446997739463,6,4.796052631578948,5.20036210018105,8.893838158871567,1.0
20146,12.9,250.0,305.1558000624535,2,7.230769230769231,8.164498531263114,4.188768009408998,0.0
18925,99.9,584.0,284.4280022445974,5,8.12719298245614,8.26126126126126,4.188768009408998,1.0
8010,239.99,2400.0,14.623632905690632,1,6.062874251497006,5.20036210018105,4.188768009408998,0.0
58724,53.0,600.0,309.14030772985063,4,8.13469387755102,8.164498531263114,4.188768009408998,0.0
31845,19.69,220.0,22.895255658834987,2,5.743781094527363,5.20036210018105,4.188768009408998,0.0
55944,27.99,250.0,19.39866895173026,0,5.743781094527363,5.20036210018105,4.256410256410256,0.0
25591,49.9,1500.0,420.5597363317637,2,8.292792792792794,8.292792792792794,4.188768009408998,0.0
37730,105.0,1000.0,332.0073140466455,10,7.125,6.593373493975903,7.949838187702265,2.0
51692,56.99,400.0,22.94544960220424,1,5.0365448504983386,5.063977746870654,4.188768009408998,0.0
74537,49.9,1500.0,327.36325026073075,7,8.292792792792794,8.292792792792794,7.906666666666666,1.0
37578,84.99,550.0,31.358247510977964,1,5.0365448504983386,5.063977746870654,4.256410256410256,0.0
4628,31.9,200.0,1345.455596115465,4,5.259803921568627,5.259803921568627,10.385906040268456,0.0
20801,19.99,250.0,7.407110838583346,1,5.743781094527363,5.20036210018105,4.188768009408998,0.0
91448,137.9,233.0,539.4954505717026,5,7.0962962962962965,8.041666666666666,4.188768009408998,1.0
57832,59.55,950.0,343.03583013719935,4,8.373983739837398,8.164498531263114,3.7177914110429446,0.0
94214,12.9,250.0,595.0612975565929,8,7.230769230769231,8.164498531263114,8.893838158871567,1.0
41456,78.25,1600.0,320.7088744899053,3,8.455645161290322,8.164498531263114,4.17948717948718,0.0
24674,12.25,175.0,5.578853296093223,4,5.934782608695652,5.20036210018105,4.188768009408998,0.0
61726,35.0,750.0,345.6550402223584,13,4.796052631578948,5.20036210018105,6.367977528089888,2.0
39974,59.99,950.0,12.841291451054069,3,5.0365448504983386,5.063977746870654,4.188768009408998,0.0
106294,348.0,9300.0,871.5673976878564,9,6.608108108108108,5.20036210018105,10.385906040268456,1.0
19043,89.9,3128.0,301.222941023332,6,8.075601374570446,8.164498531263114,4.188768009408998,1.0
85735,34.9,550.0,301.4592444946671,13,7.927835051546392,8.164498531263114,4.188768009408998,2.0
107074,143.99,8450.0,2193.713940899659,14,8.049504950495049,8.164498531263114,13.850746268656716,2.0
38406,179.9,2175.0,341.5263302332432,2,6.209302325581396,7.735135135135135,4.188768009408998,0.0
31899,205.0,9750.0,43.88462191279128,3,4.5978260869565215,5.20036210018105,5.169934640522876,0.0
70572,35.0,650.0,488.53356133603535,6,4.796052631578948,5.20036210018105,7.949838187702265,1.0
38567,399.0,9900.0,346.8087737241565,10,5.0395189003436425,5.20036210018105,8.893838158871567,2.0
37971,38.4,850.0,17.069635336717738,5,4.796052631578948,5.20036210018105,4.188768009408998,1.0
103497,49.0,300.0,18.066796019253392,1,5.247990815154994,5.20036210018105,4.188768009408998,0.0
69717,19.99,650.0,2349.7690792185444,17,4.321100917431193,5.20036210018105,13.850746268656716,3.0
24321,49.0,1550.0,758.9395417028186,7,8.292792792792794,8.292792792792794,11.12,1.0
82462,69.9,2600.0,14.455658504927436,1,5.0395189003436425,5.20036210018105,3.889908256880734,0.0
2503,179.99,4950.0,474.6373288649567,7,6.608108108108108,5.20036210018105,7.949838187702265,1.0
78906,109.9,1975.0,257.31791574282175,7,8.455645161290322,8.164498531263114,4.700787401574803,1.0
22067,53.9,1750.0,420.9308958227448,3,8.292792792792794,8.292792792792794,4.188768009408998,0.0
71738,41.99,600.0,297.5068366446487,4,7.84549356223176,8.164498531263114,4.188768009408998,0.0
43737,24.9,100.0,541.8819101027996,7,8.570652173913043,8.041666666666666,4.188768009408998,1.0
52170,56.99,850.0,592.3007355979825,4,7.84549356223176,8.164498531263114,8.893838158871567,0.0
80862,21.9,150.0,485.56178180284553,5,5.934782608695652,5.20036210018105,7.949838187702265,1.0
45252,65.9,675.0,570.275340154087,14,8.455645161290322,8.164498531263114,8.893838158871567,2.0
37502,117.3,4105.0,367.78934568965514,11,5.798507462686567,5.526881720430108,10.72463768115942,2.0
1183,150.0,2400.0,873.6128857171591,14,4.796052631578948,5.20036210018105,9.09181141439206,2.0
13155,75.78,500.0,579.089473520136,16,8.075601374570446,8.164498531263114,8.893838158871567,3.0
98882,89.9,1383.0,563.406913205063,9,8.455645161290322,8.164498531263114,10.7578125,1.0
19852,48.99,100.0,21.836923658520018,3,4.873333333333333,5.20036210018105,4.188768009408998,0.0
5786,91.0,1155.0,264.76448985188904,3,8.39080459770115,8.26126126126126,3.756410256410256,0.0
84991,49.0,300.0,374.5456600296382,11,5.247990815154994,5.20036210018105,8.893838158871567,2.0
96419,53.9,1650.0,423.12337384033526,10,8.292792792792794,8.292792792792794,4.188768009408998,2.0
50045,23.99,100.0,1461.4134149969486,10,5.0365448504983386,5.063977746870654,12.223880597014926,2.0
23503,51.92,700.0,552.0822761601568,8,8.075601374570446,8.164498531263114,7.949838187702265,1.0
102857,89.0,400.0,7.963290181963653,3,6.2924528301886795,6.593373493975903,8.893838158871567,0.0
29338,163.99,1800.0,301.4284107963508,2,8.049504950495049,8.164498531263114,4.188768009408998,0.0
95686,53.9,1750.0,1042.6875468332605,11,8.292792792792794,8.292792792792794,10.385906040268456,2.0
24639,196.8,1650.0,12.165012832047369,1,4.796052631578948,5.20036210018105,4.188768009408998,0.0
74977,122.99,400.0,87.55710687562484,5,5.575342465753424,5.526881720430108,5.748538011695906,1.0
17003,31.9,250.0,339.24437575923884,8,5.259803921568627,5.259803921568627,8.893838158871567,1.0
24226,78.0,250.0,37.93333204858397,1,5.247990815154994,5.20036210018105,3.944881889763779,0.0
36703,56.99,250.0,24.23750459291853,1,5.0365448504983386,5.063977746870654,3.944881889763779,0.0
106665,45.0,200.0,24.43180999460134,1,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
40518,25.9,150.0,2363.3713127186884,8,5.522875816993464,5.20036210018105,12.578947368421051,1.0
86473,75.0,2600.0,838.5067909389903,17,5.0395189003436425,5.20036210018105,10.385906040268456,3.0
43322,107.0,350.0,287.9808330872158,12,8.39080459770115,8.26126126126126,4.256410256410256,2.0
5202,14.9,200.0,15.389592142229391,2,4.780952380952381,5.20036210018105,4.188768009408998,0.0
76573,49.0,250.0,24.765840666849268,3,5.247990815154994,5.20036210018105,4.188768009408998,0.0
59491,20.89,1650.0,24.592265123729636,1,4.796052631578948,5.20036210018105,4.188768009408998,0.0
33577,13.98,200.0,12.889989130640554,1,4.388535031847134,5.20036210018105,4.188768009408998,0.0
303,18.9,150.0,522.7086543966273,6,8.570652173913043,8.041666666666666,4.188768009408998,1.0
17798,39.99,350.0,2356.0269151434977,19,5.743781094527363,5.20036210018105,13.850746268656716,3.0
94997,53.0,600.0,222.44095562701153,6,8.13469387755102,8.164498531263114,5.748538011695906,1.0
85008,120.0,9400.0,472.3519890972702,5,4.796052631578948,5.20036210018105,7.906666666666666,1.0
60319,25.0,250.0,551.6163092162269,9,4.388535031847134,5.20036210018105,6.913793103448276,1.0
26920,44.99,150.0,865.2237031287599,3,5.0365448504983386,5.063977746870654,9.09181141439206,0.0
42155,52.64,467.0,162.7359496714136,3,8.075601374570446,8.164498531263114,4.163043478260869,0.0
16045,67.99,450.0,5.60529573244404,2,4.114583333333333,5.20036210018105,4.188768009408998,0.0
102862,39.9,750.0,467.1045171938569,7,5.205128205128205,5.063977746870654,11.12,1.0
16149,21.9,150.0,59.55658203838629,1,5.934782608695652,5.20036210018105,5.169934640522876,0.0
23516,84.0,180.0,896.2482584576516,19,8.470588235294118,8.041666666666666,8.893838158871567,3.0
1205,56.99,250.0,117.68342245961482,5,5.0365448504983386,5.063977746870654,6.771929824561403,1.0
36089,43.9,600.0,60.23183701859645,6,5.054347826086956,5.526881720430108,5.169934640522876,1.0
80485,180.99,3800.0,291.117430064164,3,8.049504950495049,8.164498531263114,4.188768009408998,0.0
22825,139.9,2083.0,350.1369771612058,5,6.209302325581396,7.735135135135135,4.188768009408998,1.0
87084,114.9,1800.0,301.92786534414523,21,9.006535947712418,8.164498531263114,4.188768009408998,3.0
72952,119.0,584.0,285.3397046357123,6,8.12719298245614,8.26126126126126,4.188768009408998,1.0
56185,67.9,207.0,571.1339617506421,8,7.0962962962962965,8.041666666666666,11.12,1.0
52969,49.0,250.0,10.180099601373463,13,5.247990815154994,5.20036210018105,4.188768009408998,2.0
51647,38.4,950.0,114.74522033202386,5,4.796052631578948,5.20036210018105,6.771929824561403,1.0
88623,32.9,800.0,334.7096578999984,3,5.205128205128205,5.063977746870654,8.893838158871567,0.0
39304,235.0,8450.0,2116.7588616117255,12,6.608108108108108,5.20036210018105,11.414285714285716,2.0
32650,105.0,1000.0,1108.47951547331,8,7.125,6.593373493975903,10.385906040268456,1.0
48827,69.9,1000.0,297.45233809523984,18,8.455645161290322,8.164498531263114,4.188768009408998,3.0
28116,34.9,1000.0,1799.5466171391886,20,6.775510204081633,7.735135135135135,12.223880597014926,3.0
29008,58.99,200.0,489.5775123337795,6,5.0365448504983386,5.063977746870654,7.747474747474747,1.0
97598,42.9,650.0,593.9067304858381,12,7.230769230769231,8.164498531263114,8.893838158871567,2.0
23337,49.0,250.0,367.6104605858922,5,5.247990815154994,5.20036210018105,8.893838158871567,1.0
2812,74.9,1400.0,19.640988255733344,1,5.205128205128205,5.063977746870654,3.944881889763779,0.0
88342,89.99,1200.0,26.85340267811286,1,6.062874251497006,5.20036210018105,4.256410256410256,0.0
1447,174.9,2500.0,899.3890957255038,7,8.075601374570446,8.164498531263114,9.617021276595745,1.0
59378,69.9,950.0,291.93269248254774,5,8.455645161290322,8.164498531263114,7.906666666666666,1.0
101438,81.0,683.0,782.6360834443554,8,8.39080459770115,8.26126126126126,10.873239436619718,1.0
104345,55.0,250.0,73.99579620797334,1,5.247990815154994,5.20036210018105,3.756410256410256,0.0
64235,38.4,2850.0,341.4761595693873,4,4.796052631578948,5.20036210018105,6.367977528089888,0.0
